File,Line_number,SRC
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,157,this.localizedImageResource.setResource(imageResource);
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,166,this.localizedImageResource.setResourceReference(resourceReference);
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/image/Image.java,177,"this.localizedImageResource.setResourceReference(resourceReference,parameters);"
jdk-1.4/wicket/src/main/java/org/apache/wicket/protocol/http/servlet/ServletWebRequest.java,156,"String path = Strings.replaceAll(getPath(), ""%3A"", "":"").toString();"
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java,117,response.write(getComponentMarkupId());
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java,150,String widgetId = getComponentMarkupId();
jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java,322,"return component.getMarkupId() + ""Icon"";"
jdk-1.4/wicket/src/main/java/org/apache/wicket/request/target/coding/MixedParamUrlCodingStrategy.java,183,"params.put(parameterNames[i], pathParts[i]);"
jdk-1.4/wicket/src/test/java/org/apache/wicket/request/target/coding/MixedParamUrlCodingStrategyTest.java,216,"ValueMap parameterMap = npucs.decodeParameters(""/1/2/3"", urlMap);"
jdk-1.4/wicket/src/test/java/org/apache/wicket/request/target/coding/MixedParamUrlCodingStrategyTest.java,218,"assertContains(parameterMap, ""a"", ""1"");"
jdk-1.4/wicket/src/main/java/org/apache/wicket/Component.java,1146,return getSession().getLocale();
jdk-1.4/wicket/src/main/java/org/apache/wicket/Component.java,1545,return null;
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/border/Border.java,262,this.renderHeadFromAssociatedMarkupFile(container);
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,327,public final MarkupStream getAssociatedMarkupStream(final boolean throwException)
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,549,final Object removedChildren = MarkupContainer.this.children;
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,559,MarkupContainer.this.children = removedChildren;
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,583,this.children = null;
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,913,if (this.children == null)
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,915,this.children = child;
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,1028,this.children = null;
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,1044,this.children = c[1];
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,1048,this.children = c[0];
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,1066,this.children = newChildren;
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,1200,final List componentResolvers = this.getApplication().getPageSettings()
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,1480,final boolean hasAssociatedMarkup()
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/panel/Fragment.java,23,import org.apache.wicket.markup.html.WebMarkupContainer;
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/panel/Fragment.java,52,public class Fragment extends WebMarkupContainer
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/panel/Fragment.java,213,if (this.markupProvider == null)
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/panel/Fragment.java,220,stream = this.markupProvider.getAssociatedMarkupStream(false);
