File,Line_number,SRC
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,173,if (routeDefinition.getRoutePolicies() != null) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,174,for (RoutePolicy routePolicy : routeDefinition.getRoutePolicies()) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,222,if (routeDefinition.getRoutePolicies() != null) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,223,for (RoutePolicy routePolicy : routeDefinition.getRoutePolicies()) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,264,if (routeDefinition.getRoutePolicies() != null) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,265,for (RoutePolicy routePolicy : routeDefinition.getRoutePolicies()) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,295,if (routeDefinition.getRoutePolicies() != null) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,296,for (RoutePolicy routePolicy : routeDefinition.getRoutePolicies()) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,308,if (routeDefinition.getRoutePolicies() != null) {
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,309,for (RoutePolicy routePolicy : routeDefinition.getRoutePolicies()) {
camel-core/src/main/java/org/apache/camel/impl/InterceptSendToEndpoint.java,99,return new Producer() {
camel-core/src/main/java/org/apache/camel/impl/InterceptSendToEndpoint.java,117,public void process(Exchange exchange) throws Exception {
camel-core/src/main/java/org/apache/camel/impl/InterceptSendToEndpoint.java,134,return;
camel-core/src/main/java/org/apache/camel/impl/InterceptSendToEndpoint.java,154,producer.process(exchange);
camel-core/src/main/java/org/apache/camel/impl/InterceptSendToEndpoint.java,156,"LOG.debug(""Stop() means skip sending exchange to original intended destination: {} for exchange: {}"", getEndpoint(), exchange);"
camel-core/src/main/java/org/apache/camel/language/simple/ast/DoubleQuoteStart.java,43,return block.createExpression(expression);
camel-core/src/main/java/org/apache/camel/language/simple/ast/DoubleQuoteStart.java,44,} else {
camel-core/src/main/java/org/apache/camel/language/simple/ast/DoubleQuoteStart.java,45,return null;
camel-core/src/main/java/org/apache/camel/language/simple/ast/SingleQuoteStart.java,43,return block.createExpression(expression);
camel-core/src/main/java/org/apache/camel/language/simple/ast/SingleQuoteStart.java,44,} else {
camel-core/src/main/java/org/apache/camel/language/simple/ast/SingleQuoteStart.java,45,return null;
components/camel-soap/src/main/java/org/apache/camel/dataformat/soap/SoapJaxbDataFormat.java,67,"private static final QName FAULT_CODE_SERVER = new QName(""http://www.w3.org/2003/05/soap-envelope"", ""Receiver"");"
camel-core/src/main/java/org/apache/camel/component/seda/SedaEndpoint.java,88,"return new SedaProducer(this, getQueue(), getWaitForTaskToComplete(), getTimeout(), isBlockWhenFull());"
camel-core/src/main/java/org/apache/camel/component/seda/SedaProducer.java,46,"this(endpoint, queue, waitForTaskToComplete, timeout, false);"
camel-core/src/main/java/org/apache/camel/component/seda/SedaProducer.java,49,"public SedaProducer(SedaEndpoint endpoint, BlockingQueue<Exchange> queue, WaitForTaskToComplete waitForTaskToComplete,"
