File,Line_number,SRC
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/repeater/AbstractRepeater.java,86,markupStream.setCurrentIndex(markupStart);
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/repeater/AbstractRepeater.java,87,renderChild((Component)it.next());
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,221,return this.firstIndex;
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,235,int size = this.viewSize;
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,471,this.firstIndex = startIndex;
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,494,this.viewSize = size;
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,648,final int size = getViewSize();
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,560,if (isVisibleInHierarchy())
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,563,final int size = getViewSize();
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,564,if (size > 0)
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,566,if (getReuseItems())
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,569,final int maxIndex = firstIndex + size;
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,570,for (final Iterator iterator = iterator(); iterator.hasNext();)
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,573,final ListItem child = (ListItem)iterator.next();
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,574,if (child != null)
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,576,final int index = child.getIndex();
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,577,if (index < firstIndex || index >= maxIndex)
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/ListView.java,579,iterator.remove();
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/Loop.java,155,final int iterations = getIterations();
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/Loop.java,122,final int iterations = getIterations();
jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/list/Loop.java,123,if (iterations > 0)
